No.Transaksi,Daftar Barang
1,"Minyak Sawit Kemasan 1 Liter,Tepung Terigu Segitiga Biru 1 Sak,Tepung Terigu Cakra 1 Sak,Gula Pasir Kemasan 1/2kg,Telur Biasa 1 Peti"
2,"Telur Mini 1 Peti,Gula Pasir Kemasan 1/2kg"
3,Gula Pasir Kemasan 1/2kg
4,Tepung Terigu Kemasan 1kg
5,Tepung Terigu Payung 1 Sak
6,Tepung Terigu Segitiga Biru 1 Sak
7,Tepung Terigu Payung 1 Sak
8,Gula Pasir Kemasan 1/2kg
9,"Gula Kristal 1 Sak, Tepung Terigu Payung 1 Sak"
10,Telur Biasa 1 Peti
11,Gula Pasir Kemasan 1/2kg
12,Tepung Beras Rose Brand Kemasan 1/4kg
13,"Minyak Sawit Kemasan Jerigen,Tepung Beras Bola 1 Dus,Telur Mini 1 Peti"
14,"Minyak Sawit Kemasan 1 Liter,Telur Biasa 1 Peti"
15,Kerupuk Unyil
16,"Telur Biasa 1 Peti,Telur Mini 1 Peti,Minyak Sawit Kemasan 1/2kg"
17,"Telur Mini 1 Peti,Telur Biasa 1 Peti,Minyak Sawit Kemasan 1/2kg"
18,"Minyak Sawit Kemasan 1/2kg,Gula Pasir Kemasan 1/2kg"
19,Gula Pasir Kemasan 1/2kg
20,Beras C4 1 Sak
21,Minyak Sawit Kemasan 1kg
22,"Minyak Sawit Kemasan 1kg,Gula Pasir Kemasan 1/2kg,Minyak Goreng Permata 1 Dus"
23,"Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Beras C4 1 Sak"
24,Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus
25,Minyak Sawit Kemasan Jerigen
26,Tepung Kanji Gunung Agung 1 Sak
27,Telur Biasa 1 Peti
28,"Gula Pasir Kemasan 1/2kg,Tepung Terigu Segitiga Biru 1 Sak,Telur Biasa 1 Peti"
29,Gula Pasir Kemasan 1/2kg
30,"Minyak Goreng Fortune,Gula Pasir Kemasan 1/2kg"
31,Tepung Terigu Lm Kemasan 1kg 1 Dus
32,"Gula Pasir Kemasan 1/2kg,Minyak Sawit Kemasan Jerigen"
33,Tepung Terigu Segitiga Biru 1 Sak
34,Minyak Sawit Kemasan 1kg
35,"Telur Biasa 1 Peti,Minyak Sawit Kemasan 1kg "
36,Mie Burung Dara 1 Ikat
37,"Gula Kristal 1 Sak,Mie Atoom Bulan 1 Ikat,Mie Burung Dara 1 Ikat"
38,"Mie Jagung 1 Dus, Mie Kenduri 1 Ikat"
39,"Gula Pasir Kemasan 1/2kg,Minyak Sawit Kemasan Jerigen"
40,"Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Tepung Beras Rose Brand Kemasan 1/2kg"
41,Telur Biasa 1 Peti
42,"Gula Pasir Kemasan 1/2kg,Minyak Sawit Kemasan Jerigen"
43,Minyak Sawit Kemasan 1kg
44,"Kerupuk Unyil,Minyak Goreng Fortune,Gula Pasir Kemasan 1/2kg,Telur Biasa 1 Peti,Minyak Sawit Kemasan 1kg"
45,Tepung Kanji Gunung Agung 1 Sak
46,Minyak Sawit Kemasan 1 Liter
47,"Gula Pasir Kemasan 1/2kg,Telur Mini 1 Peti"
48,Telur Biasa 1 Peti
49,Telur Biasa 1 Peti
50,"Gula Pasir Kemasan 1/2kg,Tepung Beras Rose Brand Kemasan 1kg"
51,Tepung Terigu Segitiga Biru Kemasan 1/2kg 1 Dus
52,Gula Pasir Kemasan 1/2kg
53,Gula Pasir Kemasan 1/2kg
54,Gula Kristal 1 Sak
55,Minyak Sawit Kemasan Jerigen
56,Minyak Sawit Kemasan 1 Liter
57,"Tepung Terigu Payung 1 Sak,Tepung Terigu Segitiga Biru Kemasan 1kg 1 Dus,Telur Biasa 1 Peti"
58,"Tepung Beras Rose Brand Kemasan 1/2kg,Tepung Beras Rose Brand Kemasan 1/2kg 1 Plastik,Tepung Beras Rose Brand Kemasan 1/4kg 1 Plastik"
